doi,paper_title,year,journal,first_author,authors,publisher,issn,cited_by_count,crossref_type
10.11591/eei.v8i4.1605,,2019,Bulletin of Electrical Engineering and Informatics,Nur Sakinah Ahmad Yasmin,Nur Sakinah Ahmad Yasmin; Norhaliza Abdul Wahab; Aznah Nor Anuar; Mustafa Bob,Institute of Advanced Engineering and Science,2302-9285,3,
10.1109/access.2020.3030820,,2020,IEEE Access,Tuoyuan Cheng,Tuoyuan Cheng; Fouzi Harrou; Farid Kadri; Ying Sun; Torove Leiknes,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,115,
10.1021/acs.iecr.3c03067,,2023,Industrial &amp; Engineering Chemistry Research,Jing Wu,Jing Wu; Lili Tang; Shaoqin Jin; Xuan Li; Huan Liu; Dong Li; Yiqi Liu; Qilin Wang,American Chemical Society (ACS),0888-5885,3,
10.1016/j.engappai.2024.107992,,2024,Engineering Applications of Artificial Intelligence,Esmaeel Mohammadi,Esmaeel Mohammadi; Mikkel Stokholm-Bjerregaard; Aviaja Anna Hansen; Per Halkjær Nielsen; Daniel Ortiz-Arroyo; Petar Durdevic,Elsevier BV,0952-1976,20,
10.1007/s10661-024-12467-8,,2024,Environmental Monitoring and Assessment,Taskeen Hasrod,Taskeen Hasrod; Yannick B. Nuapia; Hlanganani Tutu,Springer Science and Business Media LLC,0167-6369,11,
10.12989/mwt.2018.9.2.115,,,,,,,,,
10.1109/cac57257.2022.10055712,,2022,2022 China Automation Congress (CAC),Yiqi Liu,Yiqi Liu; Jingyi Yuan; Daoping Huang,IEEE,,1,
10.1016/j.jwpe.2025.108420,,2025,Journal of Water Process Engineering,Jiatong Wang,Jiatong Wang; Wenyuan Bai; Kashem Muttaqi; Danny Sutanto,Elsevier BV,2214-7144,5,
10.1016/j.dwt.2025.101451,,2025,Desalination and Water Treatment,Jiajun Huang,Jiajun Huang; Lijun Zhang,Elsevier BV,1944-3986,0,
10.1038/s41598-024-53746-1,,2024,Scientific Reports,Daniele Biagio Laucelli,Daniele Biagio Laucelli; Laura Enríquez; Juan Saldarriaga; Orazio Giustolisi,Springer Science and Business Media LLC,2045-2322,4,
10.1038/s41598-025-15155-w,,2025,Scientific Reports,Mahyar Kalhormohammadi,Mahyar Kalhormohammadi; Sanaz Khoramipour,Springer Science and Business Media LLC,2045-2322,2,
10.1038/s41545-025-00510-1,,2025,npj Clean Water,Yu-Qi Wang,Yu-Qi Wang; Wenchong Tian; Hao-Lin Yang; Yun-Peng Song; Jia-Ji Chen; Qiong-Ying Xu; Wan-Xin Yin; Le-Qi Ding; Xi-Qi Li; Han-Tao Wang; Ai-Jie Wang; Hong-Cheng Wang,Springer Science and Business Media LLC,2059-7037,2,
10.1002/wer.10893,,2023,Water Environment Research,Jiasi Sun,Jiasi Sun; Yanran Xu; Shaker Nairat; Jianpeng Zhou; Zhen He,Wiley,1061-4303,23,
10.1016/j.memsci.2025.124133,,2025,Journal of Membrane Science,Sadaf Saeedi Garakani,Sadaf Saeedi Garakani; Jia Wei Chew,Elsevier BV,0376-7388,17,
10.1109/access.2019.2939289,,2019,IEEE Access,Hongchao Cheng,Hongchao Cheng; Yiqi Liu; Daoping Huang; Bin Liu,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,21,
10.1016/j.jenvman.2025.124814,,2025,Journal of Environmental Management,Moonil Kim,Moonil Kim; Dokyun Kim; Chul Park; Minkyung Kim; Wonbae Lee; Fenghao Cui,Elsevier BV,0301-4797,1,
10.12911/22998993/138872,,2021,Journal of Ecological Engineering,Hadeel Al Saleh,Hadeel Al Saleh,WNGB Scientific Publishing House Sp. z o.o.,2299-8993,15,
10.18517/ijaseit.10.1.9577,,2020,"International Journal on Advanced Science, Engineering and Information Technology",Ledis Heru Saryono Putro,Ledis Heru Saryono Putro; Dedik Budianta; Dedi Rohendi; Amin Rejo,Insight Society,2460-6952,3,
10.14428/esann/2023.es2023-133,,2023,ESANN 2023 proceesdings,Alberto Meola,Alberto Meola; Sören Weinrich,Ciaco - i6doc.com,,3,
10.1016/j.mlwa.2023.100475,,2023,Machine Learning with Applications,Muhammad Ghifari Ridwan,Muhammad Ghifari Ridwan; Thomas Altmann; Ahmed Yousry; Ratul Das,Elsevier BV,2666-8270,5,
10.1109/access.2023.3292543,,2023,IEEE Access,Zohaib Ahmad,Zohaib Ahmad; Tariq Mahmood; Teg Alam; Amjad Rehman; Tanzila Saba,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,9,
10.1016/j.biortech.2024.131362,,2024,Bioresource Technology,Jian Chen,Jian Chen; Jinquan Wan; Gang Ye; Yan Wang,Elsevier BV,0960-8524,22,
10.1021/acsestwater.4c00473,,2024,ACS ES&amp;T Water,Matteo Tagliavini,Matteo Tagliavini; Shane A. Snyder,American Chemical Society (ACS),2690-0637,5,
10.1109/access.2019.2950852,,2019,IEEE Access,Ivan Pisa,Ivan Pisa; Ignacio Santin; Antoni Morell; Jose Lopez Vicario; Ramon Vilanova,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,63,
10.1039/d3ew00829k,,2024,Environmental Science: Water Research &amp; Technology,K. Ramakrishna Kini,K. Ramakrishna Kini; Fouzi Harrou; Muddu Madakyaru; Ying Sun,Royal Society of Chemistry (RSC),2053-1400,9,
10.2166/wqrj.2024.061,,2024,Water Quality Research Journal,Itzel Luviano Soto,Itzel Luviano Soto; Yajaira Concha Sánchez; Alfredo Raya,IWA Publishing,2709-8044,10,
10.1039/d3va00170a,,2024,Environmental Science: Advances,Mazen S. Hamada,Mazen S. Hamada; Hossam Adel Zaqoot; Waqar Ahmed Sethar,Royal Society of Chemistry (RSC),2754-7000,34,
10.1093/jigpal/jzaf035,,2026,Logic Journal of the IGPL,Míriam Timiraos,Míriam Timiraos; Manuel Rubiños; Marta-MarÍa Álvarez-Crespo; Óscar Fontenla-Romero; José Luis Calvo-Rolle,Oxford University Press (OUP),1367-0751,0,
10.1021/acs.est.5c05051,,2025,Environmental Science &amp; Technology,Muzammil Khan,Muzammil Khan; K. C. Surendra; Sachita Baniya; Jay H. Rhymer; Samir Kumar Khanal,American Chemical Society (ACS),0013-936X,8,
10.2166/wrd.2023.154,,2023,Water Reuse,L. Syam Sundar,L. Syam Sundar; Hamad Almujibah; Abdullah H. Alshahri; Venkata Ramayya Ancha,IWA Publishing,2709-6092,4,
10.1061/joeedu.eeeng-7997,,2025,Journal of Environmental Engineering,Wanjie Ding,Wanjie Ding; Zhao Liu; Xiaohong Wang,American Society of Civil Engineers (ASCE),0733-9372,3,
10.15244/pjoes/132821,,2021,Polish Journal of Environmental Studies,Rui Wang,Rui Wang; Zhicheng Pan; Yangwu Chen; Zhouliang Tan; Jianqiang Zhang,HARD Publishing Company,1230-1485,22,
10.1109/ecbios57802.2023.10218420,,2023,"2023 IEEE 5th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)",Chin-Chih Chang,Chin-Chih Chang; Chi-Hung Wei; Min-Tien Lin; Sz-Chwun John Hwang,IEEE,,8,
10.1080/03067319.2020.1849663,,2020,International Journal of Environmental Analytical Chemistry,Somayeh Golbaz,Somayeh Golbaz; Ramin Nabizadeh; Mohammad Rafiee; Mahmood Yousefi,Informa UK Limited,0306-7319,29,
10.1016/j.jenvman.2023.119900,,2024,Journal of Environmental Management,Zeyu Wang,Zeyu Wang; Hongliang Dai; Beiyue Chen; Sichao Cheng; Yang Sun; Jinkun Zhao; Zechong Guo; Xingwei Cai; Xingang Wang; Bing Li; Hongya Geng,Elsevier BV,0301-4797,13,
10.1007/s11227-022-04827-3,,2022,The Journal of Supercomputing,Jianying Huang,Jianying Huang; Seunghyeok Yang; Jinhui Li; Jeill Oh; Hoon Kang,Springer Science and Business Media LLC,0920-8542,21,
10.1109/tase.2025.3584762,,2025,IEEE Transactions on Automation Science and Engineering,Ruyue Yang,Ruyue Yang; Ding Wang; Junfei Qiao,Institute of Electrical and Electronics Engineers (IEEE),1545-5955,4,
10.1155/2020/5392417,,2020,Complexity,Jun Zhang,Jun Zhang; Da-Yong Luo,Wiley,1076-2787,2,
10.2166/hydro.2024.167,,2024,Journal of Hydroinformatics,Siddharth Seshan,Siddharth Seshan; Dirk Vries; Jasper Immink; Alex van der Helm; Johann Poinapen,IWA Publishing,1464-7141,21,
